GeneID	Symbol	Description	log10baseMean	log2FC
100128822	LINC01003	long intergenic non-protein coding RNA 1003	2.19	0.343
1804	DPP6	dipeptidyl peptidase like 6	1.408	0.888
202781	PAXIP1-DT	PAXIP1 divergent transcript	2.493	0.666
105375591	INSIG1-DT	INSIG1 divergent transcript	1.631	-0.903
3638	INSIG1	insulin induced gene 1	3.19	-0.782
155435	RBM33	RNA binding motif protein 33	3.286	-0.271
105375599	LOC105375599	uncharacterized LOC105375599	1.322	1.745
285889	LOC285889	uncharacterized LOC285889	1.437	1.519
100506380	RNF32-DT	RNF32 divergent transcript	2.226	0.386
64327	LMBR1	limb development membrane protein 1	2.924	-0.414
3110	MNX1	motor neuron and pancreas homeobox 1	2.392	1.053
105375606	MNX1-AS2	MNX1 antisense RNA 2	1.355	1.082
645249	MNX1-AS1	MNX1 antisense RNA 1 (head to head)	1.459	1.428
10049	DNAJB6	DnaJ heat shock protein family (Hsp40) member B6	3.4	-0.427
644128	RPL23AP53	ribosomal protein L23a pseudogene 53	2.268	-0.394
26260	FBXO25	F-box protein 25	2.964	0.551
157695	TDRP	testis development related protein	2.34	-0.69
2055	CLN8	CLN8 transmembrane ER and ERGIC protein	2.861	0.276
9639	ARHGEF10	Rho guanine nucleotide exchange factor 10	2.742	-0.699
100131395	LOC100131395	uncharacterized LOC100131395	1.296	-0.709
9920	KBTBD11	kelch repeat and BTB domain containing 11	2.979	0.966
101928058	KBTBD11-AS1	KBTBD11 antisense RNA 1	1.751	1.14
104266957	KBTBD11-OT1	KBTBD11 overlapping transcript 1	1.368	1.239
101927815	LINC03021	long intergenic non-protein coding RNA 3021	1.07	0.925
107986865	LOC107986865	uncharacterized LOC107986865	1.107	1.192
105377786	LOC105377786	replaced by ID 105377785	0.973	0.974
285	ANGPT2	angiopoietin 2	2.53	-2.317
100507530	MCPH1-AS1	MCPH1 antisense RNA 1	1.573	0.694
1672	DEFB1	defensin beta 1	2.128	0.99
1671	DEFA6	defensin alpha 6	2.881	2.027
1670	DEFA5	defensin alpha 5	3.351	1.571
101928095	LOC101928095	uncharacterized LOC101928095	1.257	0.779
105379219	FAM85B	family with sequence similarity 85 member B	1.259	0.45
112268014	LOC112268014		1.662	0.569
157285	PRAG1	PEAK1 related, kinase-activating pseudokinase 1	2.789	0.924
105379222	LOC105379222	uncharacterized LOC105379222	0.901	1.526
137075	CLDN23	claudin 23	3.09	2.08
9258	MFHAS1	multifunctional ROCO family signaling regulator 1	3.057	0.236
90459	ERI1	exoribonuclease 1	2.634	-0.614
79660	PPP1R3B	protein phosphatase 1 regulatory subunit 3B	2.791	-0.441
4482	MSRA	methionine sulfoxide reductase A	2.543	0.372
83595	SOX7	SRY-box transcription factor 7	2.452	-1.505
102723313	LOC102723313	uncharacterized LOC102723313	1.131	-1.033
66036	MTMR9	myotubularin related protein 9	2.581	-0.489
101929290	LOC101929290	uncharacterized LOC101929290	0.92	-0.834
83648	FAM167A	family with sequence similarity 167 member A	2.107	-1.263
105379243	LOC105379243	uncharacterized LOC105379243	1.539	0.422
1508	CTSB	cathepsin B	4.15	-0.875
85002	FAM86B1	family with sequence similarity 86 member B1	1.983	0.41
100506990	FAM86B2-DT	FAM86B2 divergent transcript	2.542	0.377
729732	LOC729732	uncharacterized LOC729732	2.041	0.552
57604	TRMT9B	tRNA methyltransferase 9B (putative)	2.446	0.988
10395	DLC1	DLC1 Rho GTPase activating protein	3.227	-1.123
157773	C8orf48	chromosome 8 open reading frame 48	1.001	-1.262
7991	TUSC3	tumor suppressor candidate 3	2.602	-0.947
4481	MSR1	macrophage scavenger receptor 1	2.304	-0.823
286097	MICU3	mitochondrial calcium uptake family member 3	2.061	-1.095
137492	VPS37A	VPS37A subunit of ESCRT-I	2.724	-0.403
6542	SLC7A2	solute carrier family 7 member 2	2.72	-1.54
5157	PDGFRL	platelet derived growth factor receptor like	1.689	-0.912
57509	MTUS1	microtubule associated scaffold protein 1	3.472	-0.281
101930275	MTUS1-DT	MTUS1 divergent transcript	1.64	0.578
10	NAT2	N-acetyltransferase 2	2.293	1.27
63898	SH2D4A	SH2 domain containing 4A	2.722	0.904
102724881	LOC102724881		1.114	0.566
55790	CSGALNACT1	chondroitin sulfate N-acetylgalactosaminyltransferase 1	2.644	-1.864
4023	LPL	lipoprotein lipase	2.27	-1.546
526	ATP6V1B2	ATPase H+ transporting V1 subunit B2	3.279	-0.432
11178	LZTS1	leucine zipper tumor suppressor 1	2.116	-2.089
2675	GFRA2	GDNF family receptor alpha 2	2.108	0.726
9046	DOK2	docking protein 2	2.791	-0.939
10361	NPM2	nucleophosmin/nucleoplasmin 2	1.433	0.727
8822	FGF17	fibroblast growth factor 17	1.263	0.762
2039	DMTN	dematin actin binding protein	2.929	0.899
79873	NUDT18	nudix hydrolase 18	2.439	0.353
55806	HR	HR lysine demethylase and nuclear receptor corepressor	3.157	1.139
80346	REEP4	receptor accessory protein 4	3.005	0.719
649	BMP1	bone morphogenetic protein 1	3.13	-0.661
661	POLR3D	RNA polymerase III subunit D	2.842	-0.236
55124	PIWIL2	piwi like RNA-mediated gene silencing 2	1.809	0.907
5533	PPP3CC	protein phosphatase 3 catalytic subunit gamma	2.794	-0.558
10174	SORBS3	sorbin and SH3 domain containing 3	3.356	0.384
541565	C8orf58	chromosome 8 open reading frame 58	2.131	-0.282
57805	CCAR2	cell cycle and apoptosis regulator 2	3.474	0.332
107986924	LOC107986924	uncharacterized LOC107986924	2.262	-1.207
1960	EGR3	early growth response 3	2.927	-1.244
8795	TNFRSF10B	TNF receptor superfamily member 10b	3.309	-0.42
254896	LOC254896	uncharacterized LOC254896	1.192	-1.601
8794	TNFRSF10C	TNF receptor superfamily member 10c	1.784	-1.939
8793	TNFRSF10D	TNF receptor superfamily member 10d	3.148	-1.042
4017	LOXL2	lysyl oxidase like 2	3.13	-2.658
100507156	LOC100507156	uncharacterized LOC100507156	1.715	-2.327
9583	ENTPD4	ectonucleoside triphosphate diphosphohydrolase 4	3.258	-0.488
51312	SLC25A37	solute carrier family 25 member 37	3.293	-0.864
4824	NKX3-1	NK3 homeobox 1	1.774	-0.75
6781	STC1	stanniocalcin 1	2.69	-1.62
27299	ADAMDEC1	ADAM like decysin 1	3.925	0.583
4741	NEFM	neurofilament medium chain	1.599	-0.823
80005	DOCK5	dedicator of cytokinesis 5	3.17	0.274
2796	GNRH1	gonadotropin releasing hormone 1	1.908	0.52
64641	EBF2	EBF transcription factor 2	1.578	-2.634
5520	PPP2R2A	protein phosphatase 2 regulatory subunit Balpha	3.084	-0.233
157489	SDAD1P1	SDA1 domain containing 1 pseudogene 1	1.553	-0.479
665	BNIP3L	BCL2 interacting protein 3 like	3.107	-0.623
1808	DPYSL2	dihydropyrimidinase like 2	3.25	-0.726
2053	EPHX2	epoxide hydrolase 2	3.273	1.437
286133	SCARA5	scavenger receptor class A member 5	3.118	0.689
55140	ELP3	elongator acetyltransferase complex subunit 3	2.785	0.306
5368	PNOC	prepronociceptin	2.225	-1.176
55893	ZNF395	zinc finger protein 395	3.162	0.529
157574	FBXO16	F-box protein 16	1.614	-0.771
7976	FZD3	frizzled class receptor 3	2.291	-0.523
2137	EXTL3	exostosin like glycosyltransferase 3	2.84	-0.356
55756	INTS9	integrator complex subunit 9	2.602	0.256
79618	HMBOX1	homeobox containing 1	3.126	-0.344
23303	KIF13B	kinesin family member 13B	3.421	0.766
1846	DUSP4	dual specificity phosphatase 4	2.701	-1.76
10671	DCTN6	dynactin subunit 6	2.732	-0.371
100128750	RBPMS-AS1	RBPMS antisense RNA 1	1.613	-0.95
11030	RBPMS	RNA binding protein, mRNA processing factor	3.12	-0.769
112268025	LOC112268025	uncharacterized LOC112268025	1.617	-0.617
112268024	LOC112268024		2.082	-0.821
2961	GTF2E2	general transcription factor IIE subunit 2	2.863	-0.199
2936	GSR	glutathione-disulfide reductase	3.459	0.581
7993	UBXN8	UBX domain protein 8	2.391	-0.189
7486	WRN	WRN RecQ like helicase	2.731	-0.298
3084	NRG1	neuregulin 1	2.633	-0.79
78986	DUSP26	dual specificity phosphatase 26	1.723	0.577
137970	UNC5D	unc-5 netrin receptor D	1.592	1.105
105379379	LOC105379379	uncharacterized LOC105379379	1.091	1.541
80139	ZNF703	zinc finger protein 703	3.499	0.831
11160	ERLIN2	ER lipid raft associated 2	3.125	0.325
11212	PLPBP	pyridoxal phosphate binding protein	3.127	0.341
25960	ADGRA2	adhesion G protein-coupled receptor A2	3.169	-0.938
80223	RAB11FIP1	RAB11 family interacting protein 1	3.714	1.098
9070	ASH2L	ASH2 like, histone lysine methyltransferase complex subunit	2.972	0.325
9530	BAG4	BAG cochaperone 4	2.527	-0.296
84513	PLPP5	phospholipid phosphatase 5	3.177	-0.224
2260	FGFR1	fibroblast growth factor receptor 1	3.164	-0.619
286140	RNF5P1	ring finger protein 5 pseudogene 1	1.879	1.055
203100	HTRA4	HtrA serine peptidase 4	1.102	-1.425
83877	TM2D2	TM2 domain containing 2	2.885	-0.27
8754	ADAM9	ADAM metallopeptidase domain 9	3.302	-0.873
203102	ADAM32	ADAM metallopeptidase domain 32	1.668	0.935
3620	IDO1	indoleamine 2,3-dioxygenase 1	2.72	-2.294
56892	TCIM	transcriptional and immune response regulator	3.6	-0.538
51125	GOLGA7	golgin A7	2.992	-0.236
286	ANK1	ankyrin 1	1.817	-1.578
7994	KAT6A	lysine acetyltransferase 6A	3.159	-0.527
107986939	LOC107986939	uncharacterized LOC107986939	1.922	-0.965
10947	AP3M2	adaptor related protein complex 3 subunit mu 2	2.548	-0.361
7419	VDAC3	voltage dependent anion channel 3	3.352	0.367
6575	SLC20A2	solute carrier family 20 member 2	2.926	0.528
114926	SMIM19	small integral membrane protein 19	2.797	0.756
55145	THAP1	THAP domain containing 1	2.202	-0.502
81790	RNF170	ring finger protein 170	2.651	0.367
84376	HOOK3	hook microtubule tethering protein 3	3.041	-0.527
23514	SPIDR	scaffold protein involved in DNA repair	3.116	-0.183
1052	CEBPD	CCAAT enhancer binding protein delta	3.67	-0.389
4173	MCM4	minichromosome maintenance complex component 4	3.244	0.327
105375819	TCONS_00068220	uncharacterized TCONS_00068220	1.684	1.772
6591	SNAI2	snail family transcriptional repressor 2	2.676	-1.541
115294	PCMTD1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	3.132	-0.477
102724330	PCMTD1-DT	PCMTD1 divergent transcript	2.189	0.23
9821	RB1CC1	RB1 inducible coiled-coil 1	3.087	-0.61
6917	TCEA1	transcription elongation factor A1	3.207	-0.256
29088	MRPL15	mitochondrial ribosomal protein L15	3.028	0.485
64321	SOX17	SRY-box transcription factor 17	2.599	-1.431
137695	TMEM68	transmembrane protein 68	2.562	0.258
4067	LYN	LYN proto-oncogene, Src family tyrosine kinase	3.098	-0.909
6224	RPS20	ribosomal protein S20	4.201	0.347
26795	SNORD54	small nucleolar RNA, C/D box 54	1.384	-0.392
79145	CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7	2.988	0.268
54928	BPNT2	3'(2'), 5'-bisphosphate nucleotidase 2	3.212	-0.333
90362	FAM110B	family with sequence similarity 110 member B	2.052	-1.08
6386	SDCBP	syndecan binding protein	3.605	-0.789
9760	TOX	thymocyte selection associated high mobility group box	2.647	0.365
100505501	TOX-DT	TOX divergent transcript	1.942	0.417
157807	CLVS1	clavesin 1	2.075	-0.346
444	ASPH	aspartate beta-hydroxylase	3.471	-0.677
8836	GGH	gamma-glutamyl hydrolase	3.072	0.82
7274	TTPA	alpha tocopherol transfer protein	2.111	1.552
253943	YTHDF3	YTH N6-methyladenosine RNA binding protein 3	3.192	-0.306
401463	BHLHE22-AS1	BHLHE22 antisense RNA 1	1.175	-2.11
27319	BHLHE22	basic helix-loop-helix family member e22	2.003	-1.934
9420	CYP7B1	cytochrome P450 family 7 subfamily B member 1	2.658	-2.226
100505676	RRS1-DT	RRS1 divergent transcript	0.955	0.773
137872	ADHFE1	alcohol dehydrogenase iron containing 1	2.221	0.501
4603	MYBL1	MYB proto-oncogene like 1	2.218	0.834
80124	VCPIP1	valosin containing protein interacting protein 1	2.822	-0.315
56260	C8orf44	chromosome 8 putative open reading frame 44	1.989	0.497
10987	COPS5	COP9 signalosome subunit 5	3.063	0.184
102724708	ARFGEF1-DT	ARFGEF1 divergent transcript	0.978	0.846
57094	CPA6	carboxypeptidase A6	2.097	1.847
105375886	LOC105375886	uncharacterized LOC105375886	1.086	0.983
80243	PREX2	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2	2.665	-1.229
23213	SULF1	sulfatase 1	3.201	-1.085
23471	TRAM1	translocation associated membrane protein 1	3.516	-0.885
389668	XKR9	XK related 9	1.309	-1.46
2138	EYA1	EYA transcriptional coactivator and phosphatase 1	1.162	-1.3
9242	MSC	musculin	2.448	-1.7
100132891	MSC-AS1	MSC antisense RNA 1	2.222	-1.602
8989	TRPA1	transient receptor potential cation channel subfamily A member 1	2.813	-0.867
392232	LOC392232	transient receptor potential cation channel subfamily A member 1 pseudogene	1.031	-1.116
7013	TERF1	telomeric repeat binding factor 1	2.691	-0.183
6129	RPL7	ribosomal protein L7	4.355	0.418
27067	STAU2	staufen double-stranded RNA binding protein 2	2.785	-0.247
55284	UBE2W	ubiquitin conjugating enzyme E2 W	2.76	-0.451
6921	ELOC	elongin C	2.938	-0.227
54968	TMEM70	transmembrane protein 70	2.847	-0.198
23643	LY96	lymphocyte antigen 96	2.339	-1.328
54332	GDAP1	ganglioside induced differentiation associated protein 1	2.178	-0.383
51050	PI15	peptidase inhibitor 15	3.199	-4.36
83690	CRISPLD1	cysteine rich secretory protein LCCL domain containing 1	1.856	-1.229
101805492	CASC9	cancer susceptibility 9	1.802	1.317
3174	HNF4G	hepatocyte nuclear factor 4 gamma	2.969	0.753
5569	PKIA	cAMP-dependent protein kinase inhibitor alpha	2.066	-0.599
51101	ZC2HC1A	zinc finger C2HC-type containing 1A	2.438	-0.667
3574	IL7	interleukin 7	2.248	-0.719
101241902	C4orf46P3	C4orf46 pseudogene 3	1.31	-0.347
105375914	LOC105375914	uncharacterized LOC105375914	1.902	-1.257
112935892	LINC02605	long intergenic non-protein coding RNA 2605	1.47	-1.295
105375913	LOC105375913	uncharacterized LOC105375913	1.538	-1.867
23462	HEY1	hes related family bHLH transcription factor with YRPW motif 1	2.442	-1.193
28957	MRPS28	mitochondrial ribosomal protein S28	2.753	0.354
105375919	LOC105375919	uncharacterized LOC105375919	1.062	0.971
105375918	LOC105375918	uncharacterized LOC105375918	1.219	0.87
619279	ZNF704	zinc finger protein 704	2.966	1.073
55824	PAG1	phosphoprotein membrane anchor with glycosphingolipid microdomains 1	3.12	-0.541
105375924	LOC105375924	uncharacterized LOC105375924	1.018	-0.886
2171	FABP5	fatty acid binding protein 5	3.462	0.659
347051	SLC10A5	solute carrier family 10 member 5	1.65	0.987
92421	CHMP4C	charged multivesicular body protein 4C	2.614	0.898
64089	SNX16	sorting nexin 16	2.266	-0.68
105375928	LOC105375928	replaced by ID 109729147	0.95	-0.624
759	CA1	carbonic anhydrase 1	4.066	4.092
761	CA3	carbonic anhydrase 3	1.48	0.606
100996348	CA3-AS1	CA3 antisense RNA 1	1.59	1.309
760	CA2	carbonic anhydrase 2	4.049	1.772
105375624	WWP1-AS1	WWP1 antisense RNA 1	1.518	0.477
51115	RMDN1	regulator of microtubule dynamics 1	3.045	0.231
4325	MMP16	matrix metallopeptidase 16	1.821	-0.803
101929709	RIPK2-DT	RIPK2 divergent transcript	1.93	-0.428
8767	RIPK2	receptor interacting serine/threonine kinase 2	2.731	-0.883
734	OSGIN2	oxidative stress induced growth inhibitor family member 2	2.806	-0.259
4683	NBN	nibrin	2.931	-0.542
1666	DECR1	2,4-dienoyl-CoA reductase 1	3.368	0.742
169200	TMEM64	transmembrane protein 64	2.629	-0.691
64168	NECAB1	N-terminal EF-hand calcium binding protein 1	1.74	-0.704
100127983	C8orf88	chromosome 8 open reading frame 88	1.513	-0.944
55529	PIP4P2	phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2	2.132	-0.976
51633	OTUD6B	OTU deubiquitinase 6B	2.359	-0.346
115111	SLC26A7	solute carrier family 26 member 7	1.167	0.565
862	RUNX1T1	RUNX1 partner transcriptional co-repressor 1	2.319	-0.739
137392	CIBAR1	CBY1 interacting BAR domain containing 1	2.321	-0.73
389677	RBM12B	RNA binding motif protein 12B	2.668	-0.328
55472	RBM12B-AS1	RBM12B antisense RNA 1	1.309	-0.543
91147	TMEM67	transmembrane protein 67	2.15	-0.503
54704	PDP1	pyruvate dehydrogenase phosphatase catalytic subunit 1	2.719	-0.414
1015	CDH17	cadherin 17	3.965	1.248
105375647	LOC105375647	uncharacterized LOC105375647	2.486	1.122
2669	GEM	GTP binding protein overexpressed in skeletal muscle	3.026	-1.263
100861412	FSBP	fibrinogen silencer binding protein	1.528	-0.502
25962	VIRMA	vir like m6A methyltransferase associated	2.984	-0.162
100288748	LINC02894	long intergenic non-protein coding RNA 2894	1.936	1.276
54845	ESRP1	epithelial splicing regulatory protein 1	3.435	1.017
55656	INTS8	integrator complex subunit 8	3.043	-0.232
9134	CCNE2	cyclin E2	2.193	-0.416
94241	TP53INP1	tumor protein p53 inducible nuclear protein 1	3.403	-1.155
105375650	MIR3150BHG	MIR3150B host gene	1.108	1.258
157657	CFAP418	cilia and flagella associated protein 418	1.705	-0.412
7381	UQCRB	ubiquinol-cytochrome c reductase binding protein	3.703	0.503
6383	SDC2	syndecan 2	3.076	-0.565
85453	TSPYL5	TSPY like 5	2.23	-0.625
92140	MTDH	metadherin	3.513	-0.548
6156	RPL30	ribosomal protein L30	4.218	0.447
203111	ERICH5	glutamate rich 5	1.629	1.619
10247	RIDA	reactive intermediate imine deaminase A homolog	2.573	0.43
79815	NIPAL2	NIPA like domain containing 2	3.132	0.697
3788	KCNS2	potassium voltage-gated channel modifier subfamily S member 2	1.292	-0.923
6788	STK3	serine/threonine kinase 3	2.569	-0.561
116039	OSR2	odd-skipped related transciption factor 2	2.466	-0.804
157680	VPS13B	vacuolar protein sorting 13 homolog B	3.034	-0.534
1345	COX6C	cytochrome c oxidase subunit 6C	3.599	0.999
26166	RGS22	regulator of G protein signaling 22	1.291	-0.915
25897	RNF19A	ring finger protein 19A, RBR E3 ubiquitin protein ligase	3.224	-0.429
105375674	LINC03044	long intergenic non-protein coding RNA 3044	1.52	-0.867
107986962	GRHL2-DT	GRHL2 divergent transcript	1.544	1.094
79977	GRHL2	grainyhead like transcription factor 2	2.817	1.075
101927221	UBR5-DT	UBR5 divergent transcript	1.558	0.62
51366	UBR5	ubiquitin protein ligase E3 component n-recognin 5	3.4	-0.414
105375683	LOC105375683	uncharacterized LOC105375683	1.271	-0.666
107986898	LINC03047	long intergenic non-protein coding RNA 3047	1.367	-0.826
101927245	LOC101927245	uncharacterized LOC101927245	0.972	-0.626
51582	AZIN1	antizyme inhibitor 1	3.477	-0.287
528	ATP6V1C1	ATPase H+ transporting V1 subunit C1	2.983	-0.402
8323	FZD6	frizzled class receptor 6	2.711	-0.657
115908	CTHRC1	collagen triple helix repeat containing 1	2.419	-2.894
81034	SLC25A32	solute carrier family 25 member 32	2.775	-0.542
23414	ZFPM2	zinc finger protein, FOG family member 2	2.054	-0.588
105375700	OXR1-AS1	OXR1 antisense RNA 1	1.309	0.954
284	ANGPT1	angiopoietin 1	2.166	-1.036
157753	TMEM74	transmembrane protein 74	1.192	-1.014
84955	NUDCD1	NudC domain containing 1	2.647	-0.638
55638	SYBU	syntabulin	2.732	0.356
27012	KCNV1	potassium voltage-gated channel modifier subfamily V member 1	1.729	0.976
7227	TRPS1	transcriptional repressor GATA binding 1	2.384	-1.378
84294	UTP23	UTP23 small subunit processome component	2.585	-0.173
401474	SAMD12	sterile alpha motif domain containing 12	2.602	0.733
105375724	LOC105375724	uncharacterized LOC105375724	1.881	0.889
552860	SAMD12-AS1	SAMD12 antisense RNA 1	0.83	0.917
4982	TNFRSF11B	TNF receptor superfamily member 11b	2.193	-1.92
10584	COLEC10	collectin subfamily member 10	1.247	-1.663
114569	MAL2	mal, T cell differentiation protein 2	3.383	0.685
105375726	MAL2-AS1	MAL2 antisense RNA 1	2.202	0.712
6873	TAF2	TATA-box binding protein associated factor 2	2.819	-0.431
64798	DEPTOR	DEP domain containing MTOR interacting protein	2.593	0.521
105375730	LOC105375730	uncharacterized LOC105375730	0.955	0.827
7373	COL14A1	collagen type XIV alpha 1 chain	3.513	-0.913
28998	MRPL13	mitochondrial ribosomal protein L13	2.989	0.583
594842	HAS2-AS1	HAS2 antisense RNA 1	1.559	0.927
79139	DERL1	derlin 1	3.296	-0.361
93594	TBC1D31	TBC1 domain family member 31	2.484	-0.322
84985	FAM83A	family with sequence similarity 83 member A	1.388	-1.194
29028	ATAD2	ATPase family AAA domain containing 2	2.781	-0.419
114907	FBXO32	F-box protein 32	3.034	-0.823
312	ANXA13	annexin A13	2.798	1.084
157769	FAM91A1	family with sequence similarity 91 member A1	3.056	-0.547
654463	FER1L6	fer-1 like family member 6	2.146	0.796
83940	TATDN1	TatD DNase domain containing 1	2.93	0.54
4715	NDUFB9	NADH:ubiquinone oxidoreductase subunit B9	3.507	1.052
9788	MTSS1	MTSS I-BAR domain containing 1	2.937	0.323
105375740	LOC105375740	uncharacterized LOC105375740	1.723	0.367
157381	LINC00964	long intergenic non-protein coding RNA 964	1.069	1.354
137209	ZNF572	zinc finger protein 572	1.607	0.445
6713	SQLE	squalene epoxidase	2.91	-0.731
101867536	PRNCR1	prostate cancer associated non-coding RNA 1	2.112	0.2
100507056	CCAT1	colon cancer associated transcript 1	1.632	-1.367
727677	CASC8	cancer susceptibility 8	1.275	1.598
5462	POU5F1B	POU class 5 homeobox 1B	1.307	1.129
56169	GSDMC	gasdermin C	1.544	-3.442
51571	CYRIB	CYFIP related Rac1 interactor B	3.091	-0.414
50807	ASAP1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1	3.021	-1.463
23167	EFR3A	EFR3 homolog A	3.051	-0.495
3786	KCNQ3	potassium voltage-gated channel subfamily Q member 3	1.832	-1.423
137835	TMEM71	transmembrane protein 71	2.212	-0.625
51105	PHF20L1	PHD finger protein 20 like 1	2.962	-0.554
7038	TG	thyroglobulin	1.548	-1.776
6503	SLA	Src like adaptor	2.944	-0.911
100302522	PTCSC1	papillary thyroid carcinoma susceptibility candidate 1	1.568	-1.277
8840	CCN4	cellular communication network factor 4	2.567	-3.256
6482	ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	3	-0.968
57623	ZFAT	zinc finger and AT-hook domain containing	2.353	-0.548
51059	FAM135B	family with sequence similarity 135 member B	1.804	0.564
169044	COL22A1	collagen type XXII alpha 1 chain	1.494	-1.568
83696	TRAPPC9	trafficking protein particle complex subunit 9	2.958	0.355
27161	AGO2	argonaute RISC catalytic component 2	3.202	-0.579
5747	PTK2	protein tyrosine kinase 2	3.286	-0.237
101927963	DENND3-AS1	DENND3 antisense RNA 1	1.968	-0.59
22898	DENND3	DENN domain containing 3	3.152	-0.722
11156	PTP4A3	protein tyrosine phosphatase 4A3	2.984	-1.723
389690	MROH5	maestro heat like repeat family member 5 (gene/pseudogene)	1.107	-0.959
107983985	LOC107983985	Putative chemokine-related protein FP248	1.212	-0.706
203062	TSNARE1	t-SNARE domain containing 1	2.78	0.33
23237	ARC	activity regulated cytoskeleton associated protein	2.573	-1.5
54742	LY6K	lymphocyte antigen 6 family member K	1.047	-0.926
100288181	LNCOC1	lncRNA associated with ovarian cancer 1	0.948	-0.554
51337	THEM6	thioesterase superfamily member 6	2.859	0.567
4061	LY6E	lymphocyte antigen 6 family member E	3.134	-0.891
286122	LINC02904	long intergenic non-protein coding RNA 2904	1.11	-0.594
338328	GPIHBP1	glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1	1.969	-1.464
286128	ZFP41	ZFP41 zinc finger protein	2.468	0.354
2738	GLI4	GLI family zinc finger 4	2.623	0.703
100507316	MINCR	MYC-induced long non-coding RNA	1.944	0.806
79943	ZNF696	zinc finger protein 696	2.297	0.307
116447	TOP1MT	DNA topoisomerase I mitochondrial	2.842	0.488
389692	MAFA	MAF bZIP transcription factor A	1.369	0.825
100310756	LOC100310756	uncharacterized LOC100310756	2.386	0.388
93100	NAPRT	nicotinate phosphoribosyltransferase	3.545	0.896
84948	TIGD5	tigger transposable element derived 5	2.492	0.695
105375798	LOC105375798	uncharacterized LOC105375798	1.064	0.388
286077	FAM83H	family with sequence similarity 83 member H	3.223	0.742
23513	SCRIB	scribble planar cell polarity protein	3.473	0.47
22827	PUF60	poly(U) binding splicing factor 60	3.446	0.37
83481	EPPK1	epiplakin 1	3.105	0.889
2907	GRINA	glutamate ionotropic receptor NMDA type subunit associated protein 1	3.298	-0.508
26873	OPLAH	5-oxoprolinase, ATP-hydrolysing	3.056	1.015
8733	GPAA1	glycosylphosphatidylinositol anchor attachment 1	3.395	0.366
1537	CYC1	cytochrome c1	3.742	0.9
81858	SHARPIN	SHANK associated RH domain interactor	3.146	0.464
84232	MAF1	MAF1 homolog, negative regulator of RNA polymerase III	3.385	0.229
727957	MROH1	maestro heat like repeat family member 1	3.32	0.513
642658	SCX	scleraxis bHLH transcription factor	2.382	0.67
8694	DGAT1	diacylglycerol O-acyltransferase 1	3.56	0.802
102465511	MIR6848	microRNA 6848	2.076	0.809
340393	TMEM249	transmembrane protein 249	2.067	0.887
26233	FBXL6	F-box and leucine rich repeat protein 6	3.017	0.494
203054	ADCK5	aarF domain containing kinase 5	2.944	0.73
100126351	MIR939	microRNA 939	1.991	0.437
55630	SLC39A4	solute carrier family 39 member 4	3.065	1.303
51160	VPS28	VPS28 subunit of ESCRT-I	3.502	0.598
4796	TONSL	tonsoku like, DNA repair protein	2.838	0.411
50626	ZFTRAF1	zinc finger TRAF-type containing 1	2.999	0.506
90990	KIFC2	kinesin family member C2	3.339	0.547
8928	FOXH1	forkhead box H1	2.684	1.018
84988	PPP1R16A	protein phosphatase 1 regulatory subunit 16A	3.349	1.054
101928953	LOC101928953	uncharacterized LOC101928953	2.833	0.979
2875	GPT	glutamic--pyruvic transaminase	3.366	1.688
113655	MFSD3	major facilitator superfamily domain containing 3	3.125	0.963
9684	LRRC14	leucine rich repeat containing 14	2.983	0.341
441381	LRRC24	leucine rich repeat containing 24	2.546	0.514
414919	C8orf82	chromosome 8 open reading frame 82	3.022	0.791
80728	ARHGAP39	Rho GTPase activating protein 39	2.591	0.619
100996662	LOC100996662	uncharacterized LOC100996662	1.441	0.664
6132	RPL8	ribosomal protein L8	4.565	0.608
340385	ZNF517	zinc finger protein 517	2.363	0.49
100130027	LOC100130027	uncharacterized LOC100130027	1.985	0.423
7553	ZNF7	zinc finger protein 7	2.659	0.216
7564	ZNF16	zinc finger protein 16	2.198	0.308
286101	ZNF252P	zinc finger protein 252, pseudogene	2.673	0.406
286103	ZNF252P-AS1	ZNF252P antisense RNA 1	1.304	0.532
65265	C8orf33	chromosome 8 open reading frame 33	3.006	0.33
81704	DOCK8	dedicator of cytokinesis 8	3.001	-0.682
157983	DOCK8-AS1	DOCK8 antisense RNA 1	1.239	-0.546
105375945	LOC105375945	uncharacterized LOC105375945	1.149	-0.971
105375947	LOC105375947	translation initiation factor IF-2-like	1.067	1.044
10655	DMRT2	doublesex and mab-3 related transcription factor 2	2.037	0.877
107987043	LOC107987043	uncharacterized LOC107987043	1.599	-0.767
5991	RFX3	regulatory factor X3	2.596	-0.499
101929302	RFX3-DT	RFX3 divergent transcript	1.062	-0.681
169792	GLIS3	GLIS family zinc finger 3	2.471	-0.946
403313	PLPP6	phospholipid phosphatase 6	2.582	0.444
101929351	CDC37L1-DT	CDC37L1 divergent transcript	1.076	0.518
