GeneID	Symbol	Description	log10baseMean	log2FC
51102	MECR	mitochondrial trans-2-enoyl-CoA reductase	2.625	0.487
10076	PTPRU	protein tyrosine phosphatase receptor type U	2.262	-0.658
692234	SNORD103A	small nucleolar RNA, C/D box 103A	0.885	-0.49
2170	FABP3	fatty acid binding protein 3	1.991	0.434
347735	SERINC2	serine incorporator 2	3.607	1.523
105378626	LOC105378626	uncharacterized LOC105378626	2.381	1.014
90853	SPOCD1	SPOC domain containing 1	1.879	-1.359
200081	TXLNA	taxilin alpha	3.255	-0.184
55721	IQCC	IQ motif containing C	2.294	0.634
149069	DCDC2B	doublecortin domain containing 2B	1.933	0.235
339483	MTMR9LP	myotubularin related protein 9 like, pseudogene	2.781	-0.516
84734	FAM167B	family with sequence similarity 167 member B	2.378	-0.839
3065	HDAC1	histone deacetylase 1	3.691	0.355
65108	MARCKSL1	MARCKS like 1	3.652	0.496
100128071	FAM229A	family with sequence similarity 229 member A	2.272	0.742
57648	KIAA1522	KIAA1522	3.633	1.197
252995	FNDC5	fibronectin type III domain containing 5	1.587	1.16
3208	HPCA	hippocalcin	2.3	1.766
113452	TMEM54	transmembrane protein 54	3.858	1.354
127544	RNF19B	ring finger protein 19B	3.254	-0.482
204	AK2	adenylate kinase 2	3.548	0.404
113451	AZIN2	antizyme inhibitor 2	2.337	0.5
55223	TRIM62	tripartite motif containing 62	2.27	-0.273
1912	PHC2	polyhomeotic homolog 2	3.389	-0.356
100500853	MIR3605	microRNA 3605	1.604	-0.714
114784	CSMD2	CUB and Sushi multiple domains 2	1.803	-2.349
105378641	LOC105378641	uncharacterized LOC105378641	1.165	1.524
2701	GJA4	gap junction protein alpha 4	2.58	-2.165
113444	SMIM12	small integral membrane protein 12	3.048	0.259
100506144	TMEM35B	transmembrane protein 35B	2.635	-0.291
9202	ZMYM4	zinc finger MYM-type containing 4	3.025	-0.326
100861513	ZMYM4-AS1	ZMYM4 antisense RNA 1	1.192	-0.685
23154	NCDN	neurochondrin	2.625	-0.654
339488	TFAP2E	transcription factor AP-2 epsilon	2.013	-0.49
105378645	TFAP2E-AS1	TFAP2E antisense RNA 1	1.436	-0.843
127703	C1orf216	chromosome 1 open reading frame 216	2.358	-0.683
55700	MAP7D1	MAP7 domain containing 1	3.345	-0.604
79729	SH3D21	SH3 domain containing 21	2.535	0.546
55194	EVA1B	eva-1 homolog B	2.749	-0.507
83931	STK40	serine/threonine kinase 40	3.241	0.364
1441	CSF3R	colony stimulating factor 3 receptor	2.958	-3.345
105378649	LOC105378649	uncharacterized LOC105378649	1.178	-0.385
54955	C1orf109	chromosome 1 open reading frame 109	2.455	-0.239
284656	EPHA10	EPH receptor A10	3.13	1.243
4520	MTF1	metal regulatory transcription factor 1	2.751	-0.285
3633	INPP5B	inositol polyphosphate-5-phosphatase B	3.017	0.251
105378651	LOC105378651	uncharacterized LOC105378651	1.29	-0.39
2275	FHL3	four and a half LIM domains 3	2.384	-1.031
51118	UTP11	UTP11 small subunit processome component	2.796	-0.289
5453	POU3F1	POU class 3 homeobox 1	1.3	-1.048
64121	RRAGC	Ras related GTP binding C	2.835	-0.288
81025	GJA9	gap junction protein alpha 9	1.268	0.661
54933	RHBDL2	rhomboid like 2	2.672	1.263
105378662	LOC105378662	uncharacterized LOC105378662	1.544	0.943
4725	NDUFS5	NADH:ubiquinone oxidoreductase subunit S5	3.58	0.534
23499	MACF1	microtubule actin crosslinking factor 1	3.652	-0.774
643314	KIAA0754	replaced by ID 23499	2.336	-0.699
353500	BMP8A	bone morphogenetic protein 8a	2.554	-0.707
26508	HEYL	hes related family bHLH transcription factor with YRPW motif like	2.544	-1.432
10450	PPIE	peptidylprolyl isomerase E	3.008	0.36
101929536	LOC101929536	uncharacterized LOC101929536	1.182	0.627
107985740	LINC02811	long intergenic non-protein coding RNA 2811	1.187	0.473
54802	TRIT1	tRNA isopentenyltransferase 1	2.642	0.273
4610	MYCL	MYCL proto-oncogene, bHLH transcription factor	2.519	0.952
105378668	MYCL-AS1	MYCL antisense RNA 1	1.177	0.699
10487	CAP1	cyclase associated actin cytoskeleton regulatory protein 1	3.703	-0.265
5538	PPT1	palmitoyl-protein thioesterase 1	3.594	-0.217
6018	RLF	RLF zinc finger	2.985	-0.667
1298	COL9A2	collagen type IX alpha 2 chain	2.843	0.72
64744	SMAP2	small ArfGAP2	3.461	-0.79
65243	ZFP69B	ZFP69 zinc finger protein B	1.969	-0.863
127396	ZNF684	zinc finger protein 684	1.957	0.307
100130557	NFYC-AS1	NFYC antisense RNA 1	2.084	0.348
4802	NFYC	nuclear transcription factor Y subunit gamma	3.046	0.365
9132	KCNQ4	potassium voltage-gated channel subfamily Q member 4	2.142	0.765
1503	CTPS1	CTP synthase 1	2.747	-0.419
22955	SCMH1	Scm polycomb group protein homolog 1	2.982	0.212
59269	HIVEP3	HIVEP zinc finger 3	2.404	-0.895
2981	GUCA2B	guanylate cyclase activator 2B	2.423	4.274
2980	GUCA2A	guanylate cyclase activator 2A	3.306	4.255
284716	RIMKLA	ribosomal modification protein rimK like family member A	2.347	1.55
84217	ZMYND12	zinc finger MYND-type containing 12	1.515	0.528
79717	PPCS	phosphopantothenoylcysteine synthetase	3.089	0.425
10465	PPIH	peptidylprolyl isomerase H	2.938	0.371
64175	P3H1	prolyl 3-hydroxylase 1	2.864	-1.171
79078	C1orf50	chromosome 1 open reading frame 50	2.484	0.387
114625	ERMAP	erythroblast membrane associated protein (Scianna blood group)	2.631	0.426
440585	FAM183A	family with sequence similarity 183 member A	1.107	2.036
128218	TMEM125	transmembrane protein 125	2.935	1.33
149466	C1orf210	chromosome 1 open reading frame 210	2.828	1.516
7075	TIE1	tyrosine kinase with immunoglobulin like and EGF like domains 1	2.981	-1.704
4352	MPL	MPL proto-oncogene, thrombopoietin receptor	1.476	1.058
105378687	CDC20-DT	CDC20 divergent transcript	1.556	1.064
64834	ELOVL1	ELOVL fatty acid elongase 1	3.337	0.391
81888	HYI	hydroxypyruvate isomerase (putative)	2.832	0.639
5792	PTPRF	protein tyrosine phosphatase receptor type F	3.867	1.235
9682	KDM4A	lysine demethylase 4A	3.073	0.417
100132774	KDM4A-AS1	KDM4A antisense RNA 1	2.017	0.419
105378688	LINC02918	long intergenic non-protein coding RNA 2918	1.433	0.598
149473	CCDC24	coiled-coil domain containing 24	2.528	1.091
6536	SLC6A9	solute carrier family 6 member 9	2.574	0.452
55929	DMAP1	DNA methyltransferase 1 associated protein 1	3.029	0.731
79033	ERI3	ERI1 exoribonuclease family member 3	2.952	0.539
55182	RNF220	ring finger protein 220	3.14	0.246
