GeneID	Symbol	Description	log2(fold change)(Control vs Ulcerative Colitis)	-log10(Pvalue)(Control vs Ulcerative Colitis)
1187	CLCNKA	chloride voltage-gated channel Ka	1.215	3.956
101927479	EPHA2-AS1	EPHA2 antisense RNA 1	0.932	3.129
101927546	ANO7L1	anoctamin 7 like 1 (pseudogene)	0.664	3.621
79363	CPLANE2	ciliogenesis and planar polarity effector complex subunit 2	0.427	2.48
55672	NBPF1	NBPF member 1	0.62	5.415
11209	MST1P2	macrophage stimulating 1 pseudogene 2	0.854	3.596
107985736	LOC107985736	uncharacterized LOC107985736	1.192	4.174
11223	MST1L	macrophage stimulating 1 like (pseudogene)	1.44	5.218
105376805	LOC105376805	uncharacterized LOC105376805	0.699	3.399
4237	MFAP2	microfibril associated protein 2	-1.262	5.807
105376806	LOC105376806	uncharacterized LOC105376806	-1.389	7.267
6390	SDHB	succinate dehydrogenase complex iron sulfur subunit B	0.67	4.127
11240	PADI2	peptidyl arginine deiminase 2	2.389	11.206
29943	PADI1	peptidyl arginine deiminase 1	1.435	3.018
23569	PADI4	peptidyl arginine deiminase 4	-2.714	9.873
55160	ARHGEF10L	Rho guanine nucleotide exchange factor 10 like	0.83	5.274
126917	IFFO2	intermediate filament family orphan 2	-1.247	5.115
23352	UBR4	ubiquitin protein ligase E3 component n-recognin 4	-0.46	4.322
101927895	EMC1-AS1	EMC1 antisense RNA 1	-0.282	3.007
51154	MRTO4	MRT4 homolog, ribosome maturation factor	0.394	1.504
246181	AKR7L	aldo-keto reductase family 7 like (gene/pseudogene)	0.958	3.549
22977	AKR7A3	aldo-keto reductase family 7 member A3	0.895	2.447
100506730	LOC100506730	uncharacterized LOC100506730	0.821	7.151
8574	AKR7A2	aldo-keto reductase family 7 member A2	0.685	4.036
54896	SLC66A1	solute carrier family 66 member 1	0.295	1.814
440574	MICOS10	mitochondrial contact site and cristae organizing system subunit 10	0.72	4.573
100532736	MICOS10-NBL1	MICOS10-NBL1 readthrough	0.687	3.731
644068	RPS14P3	ribosomal protein S14 pseudogene 3	0.758	4.508
4681	NBL1	NBL1, DAN family BMP antagonist	0.685	3.543
255104	TMCO4	transmembrane and coiled-coil domains 4	0.388	3.598
54546	RNF186	ring finger protein 186	1.272	3.257
