GeneID	Symbol	Description	log2(fold change)(Control vs Ulcerative Colitis)	-log10(Pvalue)(Control vs Ulcerative Colitis)
65268	WNK2	WNK lysine deficient protein kinase 2	1.042	3.213
445577	FAM120A2P	family with sequence similarity 120A2, pseudogene	0.771	4.811
107987097	LOC107987097	uncharacterized LOC107987097	0.517	2.569
158293	FAM120AOS	family with sequence similarity 120A opposite strand	0.363	4.778
169841	ZNF169	zinc finger protein 169	0.529	3.27
54754	NUTM2F	NUT family member 2F	0.546	2.098
84641	MFSD14B	major facilitator superfamily domain containing 14B	-0.279	1.713
101928099	PCAT7	prostate cancer associated transcript 7	1.34	4.738
8789	FBP2	fructose-bisphosphatase 2	1.13	3.044
2203	FBP1	fructose-bisphosphatase 1	0.932	5.308
84909	AOPEP	aminopeptidase O (putative)	-0.422	4.003
101928119	LOC101928119	uncharacterized LOC101928119	-0.465	2.036
2176	FANCC	FA complementation group C	0.222	3.081
105376156	LOC105376156	uncharacterized LOC105376156	0.732	4.018
105376161	LOC105376161	uncharacterized LOC105376161	0.717	2.31
100128782	ERCC6L2-AS1	ERCC6L2 antisense RNA 1	0.573	5.376
100188953	LINC00092	long intergenic non-protein coding RNA 92	0.641	2.369
3293	HSD17B3	hydroxysteroid 17-beta dehydrogenase 3	0.766	5.788
11046	SLC35D2	solute carrier family 35 member D2	0.794	6.593
22927	HABP4	hyaluronan binding protein 4	-0.56	3.263
195827	PRXL2C	peroxiredoxin like 2C	-0.951	5.882
441457	NUTM2G	NUT family member 2G	0.35	1.311
1515	CTSV	cathepsin V	0.873	2.541
101926917	ANKRD18CP	ankyrin repeat domain 18C, pseudogene	0.222	1.304
100499483	CCDC180	coiled-coil domain containing 180	0.319	1.413
23424	TDRD7	tudor domain containing 7	0.319	2.505
7507	XPA	XPA, DNA damage recognition and repair factor	0.29	4.542
10541	ANP32B	acidic nuclear phosphoprotein 32 family member B	0.235	1.538
54187	NANS	N-acetylneuraminate synthase	0.998	4.667
9830	TRIM14	tripartite motif containing 14	0.603	5.376
7464	CORO2A	coronin 2A	0.523	1.537
79695	GALNT12	polypeptide N-acetylgalactosaminyltransferase 12	1.263	6.343
1306	COL15A1	collagen type XV alpha 1 chain	-2.488	16.065
7046	TGFBR1	transforming growth factor beta receptor 1	-0.528	2.503
85365	ALG2	ALG2 alpha-1,3/1,6-mannosyltransferase	-0.3	2.777
10952	SEC61B	SEC61 translocon subunit beta	-0.272	1.382
8013	NR4A3	nuclear receptor subfamily 4 group A member 3	-1.151	2.107
441461	STX17-DT	STX17 divergent transcript	0.565	2.171
27130	INVS	inversin	-0.324	4.705
54881	TEX10	testis expressed 10	-0.144	1.831
91283	MSANTD3	Myb/SANT DNA binding domain containing 3	-0.768	10.787
100526694	MSANTD3-TMEFF1	MSANTD3-TMEFF1 readthrough	-0.932	7.918
8577	TMEFF1	transmembrane protein with EGF like and two follistatin like domains 1	-0.683	1.845
347273	CAVIN4	caveolae associated protein 4	-0.794	3.637
54534	MRPL50	mitochondrial ribosomal protein L50	-0.198	1.363
84302	PGAP4	post-GPI attachment to proteins GalNAc transferase 4	1.033	5.094
56254	RNF20	ring finger protein 20	0.179	2.222
25934	NIPSNAP3A	nipsnap homolog 3A	0.574	3.3
19	ABCA1	ATP binding cassette subfamily A member 1	-0.94	3.578
23446	SLC44A1	solute carrier family 44 member 1	0.576	3.449
5887	RAD23B	RAD23 homolog B, nucleotide excision repair protein	-0.311	3.189
8727	CTNNAL1	catenin alpha like 1	-0.492	2.816
105376216	LOC105376216	uncharacterized LOC105376216	-0.827	1.632
54566	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B	1.512	5.431
107987113	LOC107987113		2.118	9.329
5774	PTPN3	protein tyrosine phosphatase non-receptor type 3	0.853	4.727
445815	PALM2AKAP2	PALM2 and AKAP2 fusion	-1.212	5.257
105376217	LOC105376217	uncharacterized LOC105376217	-0.572	1.322
401546	C9orf152	chromosome 9 open reading frame 152	1.219	3.933
7295	TXN	thioredoxin	0.727	3.46
1902	LPAR1	lysophosphatidic acid receptor 1	-0.475	3.235
22949	PTGR1	prostaglandin reductase 1	0.813	5.874
552891	DNAJC25-GNG10	DNAJC25-GNG10 readthrough	-0.751	11.577
2790	GNG10	G protein subunit gamma 10	-0.767	11.297
7357	UGCG	UDP-glucose ceramide glucosyltransferase	-1.063	6.41
105376220	LINC02977	long intergenic non-protein coding RNA 2977	0.682	5.411
64420	SUSD1	sushi domain containing 1	0.457	5.171
84263	HSDL2	hydroxysteroid dehydrogenase like 2	0.642	5.575
58493	INIP	INTS3 and NABP interacting protein	0.364	2.618
401548	SNX30	sorting nexin family member 30	0.522	3.227
107987118	LOC107987118	replaced by ID 401548	0.824	4.7
112268054	LOC112268054		1.002	4.109
169834	ZNF883	zinc finger protein 883	-0.578	2.454
7539	ZFP37	ZFP37 zinc finger protein	-0.405	1.458
100128385	FAM225B	family with sequence similarity 225 member B	-1.685	7.933
286333	FAM225A	family with sequence similarity 225 member A	-1.631	8.101
1318	SLC31A2	solute carrier family 31 member 2	-0.609	3.521
23307	FKBP15	FKBP prolyl isomerase family member 15	-0.213	2.621
114987	WDR31	WD repeat domain 31	0.483	3.592
54836	BSPRY	B-box and SPRY domain containing	0.922	2.947
81932	HDHD3	haloacid dehalogenase like hydrolase domain containing 3	1.142	4.857
210	ALAD	aminolevulinate dehydratase	0.454	4.72
257169	C9orf43	chromosome 9 open reading frame 43	-0.419	2.695
5998	RGS3	regulator of G protein signaling 3	-0.46	4.558
114991	ZNF618	zinc finger protein 618	-0.597	2.721
259	AMBP	alpha-1-microglobulin/bikunin precursor	0.754	1.826
113220	KIF12	kinesin family member 12	1.488	5.246
85301	COL27A1	collagen type XXVII alpha 1 chain	-1.358	7.296
105376224	LOC105376224	uncharacterized LOC105376224	-1.373	5.57
9550	ATP6V1G1	ATPase H+ transporting V1 subunit G1	-0.315	3.639
9966	TNFSF15	TNF superfamily member 15	-0.625	1.983
944	TNFSF8	TNF superfamily member 8	-0.746	1.646
3371	TNC	tenascin C	-2.281	7.943
5069	PAPPA	pappalysin 1	-1.348	5.016
493913	PAPPA-AS1	PAPPA antisense RNA 1	-1.353	4.321
7099	TLR4	toll like receptor 4	-0.907	4.559
100288842	B3GALT9	beta-1,3-galactosyltransferase 9	0.567	3.515
5711	PSMD5	proteasome 26S subunit, non-ATPase 5	-0.235	2.335
7185	TRAF1	TNF receptor associated factor 1	-0.669	2.629
2934	GSN	gelsolin	0.541	2.163
2040	STOM	stomatin	-1.341	7.995
153090	DAB2IP	DAB2 interacting protein	0.556	4.249
158135	TTLL11	tubulin tyrosine ligase like 11	0.224	2.296
4702	NDUFA8	NADH:ubiquinone oxidoreductase subunit A8	0.737	4.418
26468	LHX6	LIM homeobox 6	-1.737	9.381
92400	RBM18	RNA binding motif protein 18	-0.213	2.601
92399	MRRF	mitochondrial ribosome recycling factor	0.364	3.946
26740	OR1J2	olfactory receptor family 1 subfamily J member 2	-0.984	1.652
5082	PDCL	phosducin like	-0.335	4.053
54542	RC3H2	ring finger and CCCH-type domains 2	-0.361	3.266
10773	ZBTB6	zinc finger and BTB domain containing 6	-0.306	1.353
2844	GPR21	G protein-coupled receptor 21	-0.988	3.778
55342	STRBP	spermatid perinuclear RNA binding protein	0.462	3.075
81571	MIR600HG	MIR600 host gene	0.674	3.906
286204	CRB2	crumbs cell polarity complex component 2	1.295	11.55
57706	DENND1A	DENN domain containing 1A	0.184	1.462
100129034	LOC100129034	uncharacterized LOC100129034	0.323	3.9
105376270	LOC105376270	uncharacterized LOC105376270	1.494	3.343
2649	NR6A1	nuclear receptor subfamily 6 group A member 1	0.998	5.928
100379345	MIR181A2HG	MIR181A2 host gene	0.801	2.575
401551	WDR38	WD repeat domain 38	0.561	1.406
11224	RPL35	ribosomal protein L35	0.446	1.538
81873	ARPC5L	actin related protein 2/3 complex subunit 5 like	-0.222	1.361
3309	HSPA5	heat shock protein family A (Hsp70) member 5	-0.615	2.808
26130	GAPVD1	GTPase activating protein and VPS9 domains 1	-0.255	2.509
5090	PBX3	PBX homeobox 3	-0.527	2.358
89853	MVB12B	multivesicular body subunit 12B	0.587	11.305
23099	ZBTB43	zinc finger and BTB domain containing 43	-0.454	1.414
403341	ZBTB34	zinc finger and BTB domain containing 34	-0.392	2.211
9649	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1	0.918	8.668
23452	ANGPTL2	angiopoietin like 2	-1.418	6.693
112268056	LOC112268056		0.445	3.87
29988	SLC2A8	solute carrier family 2 member 8	0.708	4.581
6136	RPL12	ribosomal protein L12	0.387	1.792
6812	STXBP1	syntaxin binding protein 1	-0.8	3.931
100500872	MIR3911	microRNA 3911	-0.607	2.155
27433	TOR2A	torsin family 2 member A	0.57	3.332
10044	SH2D3C	SH2 domain containing 3C	-0.823	3.564
107987132	LOC107987132	uncharacterized LOC107987132	-1.054	3.064
2022	ENG	endoglin	-1.407	8.978
102723566	LOC102723566	uncharacterized LOC102723566	-1.056	8.437
203	AK1	adenylate kinase 1	0.995	3.25
30815	ST6GALNAC6	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 6	1.171	4.536
27090	ST6GALNAC4	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 4	-0.493	2.478
399665	EEIG1	estrogen-induced osteoclastogenesis regulator 1	0.426	2.594
100289019	SLC25A25-AS1	SLC25A25 antisense RNA 1	0.833	5.483
80142	PTGES2	prostaglandin E synthase 2	0.711	3.63
3934	LCN2	lipocalin 2	-0.992	1.545
25792	CIZ1	CDKN1A interacting zinc finger protein 1	0.16	1.478
26995	TRUB2	TruB pseudouridine synthase family member 2	0.59	4.114
105376286	LOC105376286	uncharacterized LOC105376286	0.261	1.328
51117	COQ4	coenzyme Q4	0.738	4.548
10999	SLC27A4	solute carrier family 27 member 4	0.94	5.346
81605	URM1	ubiquitin related modifier 1	0.389	2.012
51148	CERCAM	cerebral endothelial cell adhesion molecule	-1.056	5.823
4957	ODF2	outer dense fiber of sperm tails 2	-0.284	4.426
2733	GLE1	GLE1 RNA export mediator	0.361	3.451
89891	DYNC2I2	dynein 2 intermediate chain 2	0.579	1.828
105376287	LOC105376287	replaced by ID 100506080	0.686	4.806
29941	PKN3	protein kinase N3	-0.665	5.131
84885	ZDHHC12	zinc finger DHHC-type palmitoyltransferase 12	0.865	3.845
10444	ZER1	zyg-11 related cell cycle regulator	0.414	4.349
2021	ENDOG	endonuclease G	0.754	2.696
51490	SPOUT1	SPOUT domain containing methyltransferase 1	0.321	1.718
56262	LRRC8A	leucine rich repeat containing 8 VRAC subunit A	-0.627	5.655
101929291	LOC101929291	uncharacterized LOC101929291	-0.449	1.901
23511	NUP188	nucleoporin 188	-0.289	3.579
56904	SH3GLB2	SH3 domain containing GRB2 like, endophilin B2	0.69	4.977
84895	MIGA2	mitoguardin 2	0.628	4.992
57171	DOLPP1	dolichyldiphosphatase 1	0.683	3.172
1384	CRAT	carnitine O-acetyltransferase	0.593	3.398
389792	IER5L	immediate early response 5 like	-1.084	3.861
100506119	LINC01503	long intergenic non-protein coding RNA 1503	-1.096	5.225
100506190	LINC00963	long intergenic non-protein coding RNA 963	-0.319	1.65
105376292	LOC105376292	uncharacterized LOC105376292	0.696	1.558
51450	PRRX2	paired related homeobox 2	-1.296	6.423
9536	PTGES	prostaglandin E synthase	-1.643	10.765
27348	TOR1B	torsin family 1 member B	0.393	2.715
51759	C9orf78	chromosome 9 open reading frame 78	0.168	1.767
256158	HMCN2	hemicentin 2	0.554	1.36
107987134	LOC107987134	uncharacterized LOC107987134	0.615	1.727
445	ASS1	argininosuccinate synthase 1	-0.905	2.743
105376294	LOC105376294		-0.741	1.822
8939	FUBP3	far upstream element binding protein 3	-0.341	1.842
23404	EXOSC2	exosome component 2	0.245	2.057
347148	QRFP	pyroglutamylated RFamide peptide	0.46	1.715
10319	LAMC3	laminin subunit gamma 3	-1.778	8.057
83543	AIF1L	allograft inflammatory factor 1 like	-0.946	4.154
8021	NUP214	nucleoporin 214	0.136	1.391
84814	PLPP7	phospholipid phosphatase 7 (inactive)	-0.772	3.337
692093	SNORD62B	small nucleolar RNA, C/D box 62B	-0.592	1.463
10585	POMT1	protein O-mannosyltransferase 1	0.473	3.498
83549	UCK1	uridine-cytidine kinase 1	0.287	1.714
642515	PRRT1B	proline rich transmembrane protein 1B	1.237	4.837
2889	RAPGEF1	Rap guanine nucleotide exchange factor 1	-0.447	2.866
84628	NTNG2	netrin G2	-1.028	5.216
23064	SETX	senataxin	-0.383	2.844
8328	GFI1B	growth factor independent 1B transcriptional repressor	1.855	9.523
9328	GTF3C5	general transcription factor IIIC subunit 5	0.366	2.585
1056	CEL	carboxyl ester lipase	0.803	2.924
1057	CELP	carboxyl ester lipase pseudogene	1.056	2.754
5900	RALGDS	ral guanine nucleotide dissociation stimulator	-0.594	3.346
26301	GBGT1	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group)	-0.516	2.347
28	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	1.239	5.017
6838	SURF6	surfeit 6	0.719	5.629
6130	RPL7A	ribosomal protein L7a	0.34	1.588
26820	SNORD24	small nucleolar RNA, C/D box 24	-0.678	3.416
6834	SURF1	SURF1 cytochrome c oxidase assembly factor	0.602	3.881
6835	SURF2	surfeit 2	0.556	2.109
6836	SURF4	surfeit 4	-0.351	3.723
57109	REXO4	REX4 homolog, 3'-5' exonuclease	0.314	2.098
11093	ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	0.767	7.033
11094	CACFD1	calcium channel flower domain containing 1	1.183	6.737
11182	SLC2A6	solute carrier family 2 member 6	-1.084	6.078
7410	VAV2	vav guanine nucleotide exchange factor 2	0.169	1.381
266655	BRD3OS	BRD3 opposite strand	-0.273	2.411
11091	WDR5	WD repeat domain 5	0.321	2.827
6256	RXRA	retinoid X receptor alpha	0.479	6.037
1289	COL5A1	collagen type V alpha 1 chain	-1.801	11.572
101448202	LOC101448202	uncharacterized LOC101448202	-1.858	10.222
2219	FCN1	ficolin 1	-2.173	8.437
10439	OLFM1	olfactomedin 1	-0.867	4.762
100506599	PPP1R26-AS1	PPP1R26 antisense RNA 1	1.262	6.593
9858	PPP1R26	protein phosphatase 1 regulatory subunit 26	0.514	4.311
138162	PIERCE1	piercer of microtubule wall 1	-0.546	2.854
51116	MRPS2	mitochondrial ribosomal protein S2	0.466	1.95
101928525	LOC101928525	uncharacterized LOC101928525	0.397	1.804
57582	KCNT1	potassium sodium-activated channel subfamily T member 1	-0.942	3.446
157922	CAMSAP1	calmodulin regulated spectrin associated protein 1	-0.431	4.636
10422	UBAC1	UBA domain containing 1	0.625	4.855
138151	NACC2	NACC family member 2	-0.34	2.076
105376322	LOC105376322		-0.628	2.965
105376323	LINC02846	long intergenic non-protein coding RNA 2846	0.898	5.159
90120	TMEM250	transmembrane protein 250	0.604	4.014
26086	GPSM1	G protein signaling modulator 1	-0.484	1.74
23203	PMPCA	peptidase, mitochondrial processing subunit alpha	0.442	2.984
9919	SEC16A	SEC16 homolog A, endoplasmic reticulum export factor	-0.19	1.438
101928483	NALT1	NOTCH1 associated lncRNA in T cell acute lymphoblastic leukemia 1	0.689	2.728
401561	LINC01451	long intergenic non-protein coding RNA 1451	1.372	7.091
105376325	LOC105376325	uncharacterized LOC105376325	-1.751	8.719
51162	EGFL7	EGF like domain multiple 7	-0.818	2.553
10555	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2	0.892	2.939
138311	DIPK1B	divergent protein kinase domain 1B	-0.407	1.789
414332	LCN10	lipocalin 10	-0.797	1.854
158062	LCN6	lipocalin 6	-1.441	5.39
389812	LCN15	lipocalin 15	3.154	8.43
85014	TMEM141	transmembrane protein 141	1.299	5.205
84960	CCDC183	coiled-coil domain containing 183	1.34	7.672
100131193	CCDC183-AS1	CCDC183 antisense RNA 1	1.142	6.518
55684	RABL6	RAB, member RAS oncogene family like 6	0.845	5.295
389813	AJM1	apical junction component 1 homolog	0.583	2.726
29085	PHPT1	phosphohistidine phosphatase 1	0.812	3.888
158056	MAMDC4	MAM domain containing 4	0.731	3.675
8721	EDF1	endothelial differentiation related factor 1	0.694	2.823
7186	TRAF2	TNF receptor associated factor 2	0.309	1.307
54461	FBXW5	F-box and WD repeat domain containing 5	0.499	2.413
733	C8G	complement C8 gamma chain	1.155	6.459
286256	LCN12	lipocalin 12	1.226	6.83
286257	PAXX	PAXX non-homologous end joining factor	0.623	2.485
20	ABCA2	ATP binding cassette subfamily A member 2	0.427	3.2
401563	LINC02908	long intergenic non-protein coding RNA 2908	-0.521	2.1
2529	FUT7	fucosyltransferase 7	-1.765	9.282
954	ENTPD2	ectonucleoside triphosphate diphosphohydrolase 2	1.084	4.625
91373	UAP1L1	UDP-N-acetylglucosamine pyrophosphorylase 1 like 1	-0.264	1.589
100289341	MAN1B1-DT	MAN1B1 divergent transcript	0.405	2.026
11253	MAN1B1	mannosidase alpha class 1B member 1	0.493	2.72
105376328	LOC105376328	uncharacterized LOC105376328	1.475	3.563
389816	LRRC26	leucine rich repeat containing 26	1.513	3.321
29882	ANAPC2	anaphase promoting complex subunit 2	0.254	1.66
8636	SSNA1	SS nuclear autoantigen 1	0.443	1.758
286262	TPRN	taperin	1.387	5.537
94107	TMEM203	transmembrane protein 203	0.479	3.451
27158	NDOR1	NADPH dependent diflavin oxidoreductase 1	0.309	1.63
727800	RNF208	ring finger protein 208	0.993	4.547
375791	CYSRT1	cysteine rich tail 1	0.538	1.852
142680	SLC34A3	solute carrier family 34 member 3	0.607	3.161
10383	TUBB4B	tubulin beta 4B class IVb	0.667	3.289
401565	FAM166A	family with sequence similarity 166 member A	0.975	4.468
100129722	STPG3-AS1	STPG3 antisense RNA 1	1.37	7.533
441476	STPG3	sperm-tail PG-rich repeat containing 3	1.176	7.501
25920	NELFB	negative elongation factor complex member B	0.476	3.706
54863	TOR4A	torsin family 4 member A	0.694	3.253
441478	NRARP	NOTCH regulated ankyrin repeat protein	1.175	5.804
54932	EXD3	exonuclease 3'-5' domain containing 3	0.764	5.02
10811	NOXA1	NADPH oxidase activator 1	1.284	5.519
377841	ENTPD8	ectonucleoside triphosphate diphosphohydrolase 8	1.452	4.022
26012	NSMF	NMDA receptor synaptonuclear signaling and neuronal migration factor	0.307	1.797
375775	PNPLA7	patatin like phospholipase domain containing 7	1.127	10.537
64975	MRPL41	mitochondrial ribosomal protein L41	0.968	3.753
92714	ARRDC1	arrestin domain containing 1	0.523	3.225
85026	ARRDC1-AS1	ARRDC1 antisense RNA 1	0.435	2.108
79813	EHMT1	euchromatic histone lysine methyltransferase 1	-0.182	1.637
643224	TUBBP5	tubulin beta pseudogene 5	1.435	5.274
100132403	FAM157B	family with sequence similarity 157 member B	-1.099	5.36
112267861	LOC112267861		-0.936	3.6
105376333	LOC105376333	uncharacterized LOC105376333	-0.642	4.045
107984190	LOC107984190	uncharacterized LOC107984190	-0.452	1.621
414235	DIP2C-AS1	DIP2C antisense RNA 1	0.861	3.9
23185	LARP4B	La ribonucleoprotein 4B	0.276	3.806
23560	GTPBP4	GTP binding protein 4	-0.206	1.662
91734	IDI2	isopentenyl-diphosphate delta isomerase 2	0.36	1.432
55853	IDI2-AS1	IDI2 antisense RNA 1	-0.559	1.913
3422	IDI1	isopentenyl-diphosphate delta isomerase 1	-0.325	1.656
105376352	LOC105376352	uncharacterized LOC105376352	0.699	1.577
107984192	LOC107984192	uncharacterized LOC107984192	-0.645	1.806
1646	AKR1C2	aldo-keto reductase family 1 member C2	0.466	1.522
8644	AKR1C3	aldo-keto reductase family 1 member C3	0.91	2.761
114131	UCN3	urocortin 3	1.58	4.722
79861	TUBAL3	tubulin alpha like 3	1.987	6.205
10276	NET1	neuroepithelial cell transforming 1	0.747	5.354
79754	ASB13	ankyrin repeat and SOCS box containing 13	0.813	7.853
84893	FBH1	F-box DNA helicase 1	-0.219	3.611
3601	IL15RA	interleukin 15 receptor subunit alpha	-0.802	10.809
107984200	LOC107984200	uncharacterized LOC107984200	-1.002	14.842
3559	IL2RA	interleukin 2 receptor subunit alpha	-1.48	5.068
107984201	LOC107984201	uncharacterized LOC107984201	-1.004	2.416
5209	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	-1.706	9.093
399715	LINC02649	long intergenic non-protein coding RNA 2649	-0.731	2.683
399716	LINC02656	long intergenic non-protein coding RNA 2656	-0.721	2.257
57713	SFMBT2	Scm like with four mbt domains 2	-1.286	6.715
105376388	LINC02642	long intergenic non-protein coding RNA 2642	-1.263	3.044
105376391	LOC105376391	uncharacterized LOC105376391	1.368	3.328
509	ATP5F1C	ATP synthase F1 subunit gamma	0.6	3.819
105376392	LOC105376392	uncharacterized LOC105376392	0.891	4.745
83860	TAF3	TATA-box binding protein associated factor 3	-0.311	2.863
207107	SFTA1P	surfactant associated 1, lncRNA	1.419	4.788
414196	CELF2-AS1	CELF2 antisense RNA 1	-0.825	1.421
105376412	LOC105376412	uncharacterized LOC105376412	1.248	2.033
254427	PROSER2	proline and serine rich 2	0.373	1.657
55176	SEC61A2	SEC61 translocon subunit alpha 2	-0.248	2.432
57118	CAMK1D	calcium/calmodulin dependent protein kinase ID	0.724	8.88
83643	CCDC3	coiled-coil domain containing 3	-1.563	6.612
5264	PHYH	phytanoyl-CoA 2-hydroxylase	1.051	9.822
222389	BEND7	BEN domain containing 7	0.499	4.123
55691	FRMD4A	FERM domain containing 4A	-0.48	2.478
221060	RPP38-DT	RPP38 divergent transcript	0.393	1.454
10557	RPP38	ribonuclease P/MRP subunit p38	0.437	3.641
9397	NMT2	N-myristoyltransferase 2	0.479	10.121
107984210	LOC107984210	uncharacterized LOC107984210	0.399	1.842
221061	FAM171A1	family with sequence similarity 171 member A1	0.583	4.335
80013	MINDY3	MINDY lysine 48 deubiquitinase 3	-0.208	1.344
389941	C1QL3	complement C1q like 3	0.78	2.946
6251	RSU1	Ras suppressor protein 1	-0.414	4.355
8029	CUBN	cubilin	-0.909	3.69
1787	TRDMT1	tRNA aspartic acid methyltransferase 1	-0.287	1.733
100507347	VIM-AS1	VIM antisense RNA 1	-1.239	6.318
7431	VIM	vimentin	-1.071	6.026
8027	STAM	signal transducing adaptor molecule	-0.472	4.105
653567	TMEM236	transmembrane protein 236	1.747	7.012
107984212	LOC107984212		1.335	2.977
4360	MRC1	mannose receptor C-type 1	-0.905	2.475
783	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2	0.274	2.107
10529	NEBL	nebulette	-0.42	1.473
399726	MIR1915HG	MIR1915 host gene	-1.742	10.627
387640	SKIDA1	SKI/DACH domain containing 1	-0.694	1.765
8028	MLLT10	MLLT10 histone lysine methyltransferase DOT1L cofactor	-0.288	1.376
64215	DNAJC1	DnaJ heat shock protein family (Hsp40) member C1	-0.304	2.217
100532731	COMMD3-BMI1	COMMD3-BMI1 readthrough	-0.358	4.089
648	BMI1	BMI1 proto-oncogene, polycomb ring finger	-0.515	3.145
100499489	LINC03027	long intergenic non-protein coding RNA 3027	-0.442	1.909
5305	PIP4K2A	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha	-0.388	1.309
22921	MSRB2	methionine sulfoxide reductase B2	0.694	3.424
56952	PRTFDC1	phosphoribosyl transferase domain containing 1	0.267	1.592
79896	THNSL1	threonine synthase like 1	0.599	5.949
53904	MYO3A	myosin IIIA	0.566	1.486
23590	PDSS1	decaprenyl diphosphate synthase subunit 1	0.485	2.546
10006	ABI1	abl interactor 1	-0.206	1.447
22852	ANKRD26	ankyrin repeat domain containing 26	-0.313	1.431
10730	YME1L1	YME1 like 1 ATPase	-0.277	2.39
22931	RAB18	RAB18, member RAS oncogene family	-0.429	3.828
283078	MKX	mohawk homeobox	-1.667	6.827
55130	ODAD2	outer dynein arm docking complex subunit 2	-1.287	5.31
143098	MPP7	MAGUK p55 scaffold protein 7	0.709	3.606
220906	WAC-AS1	WAC antisense RNA 1 (head to head)	0.251	2.733
51322	WAC	WW domain containing adaptor with coiled-coil	-0.28	2.904
102724316	SVIL-AS1	SVIL antisense RNA 1	-0.251	2.453
57608	JCAD	junctional cadherin 5 associated	-1.512	6.535
1326	MAP3K8	mitogen-activated protein kinase kinase kinase 8	-1.065	4.321
220930	ZEB1-AS1	ZEB1 antisense RNA 1	-0.795	5.993
6935	ZEB1	zinc finger E-box binding homeobox 1	-1.215	5.59
100505502	LOC100505502	POM121 transmembrane nucleoporin like, pseudogene	-1.358	5.566
105376486	LOC105376486		-0.542	2.23
3688	ITGB1	integrin subunit beta 1	-0.779	5.698
106633814	SNORA86	small nucleolar RNA, H/ACA box 86	-0.68	4.364
8829	NRP1	neuropilin 1	-1.477	7.071
56288	PARD3	par-3 family cell polarity regulator	0.537	4.639
8453	CUL2	cullin 2	-0.22	2.844
1390	CREM	cAMP responsive element modulator	-0.874	4.754
8325	FZD8	frizzled class receptor 8	0.406	1.675
219749	ZNF25	zinc finger protein 25	-0.436	1.898
7581	ZNF33A	zinc finger protein 33A	0.222	1.672
7587	ZNF37A	zinc finger protein 37A	-0.434	2.777
84856	LINC00839	long intergenic non-protein coding RNA 839	-2.156	14.037
100129482	ZNF37BP	zinc finger protein 37B, pseudogene	-0.427	1.714
7582	ZNF33B	zinc finger protein 33B	0.353	2.933
105378268	LOC105378268	uncharacterized LOC105378268	0.352	2.051
55454	CSGALNACT2	chondroitin sulfate N-acetylgalactosaminyltransferase 2	-1.428	7.856
221002	RASGEF1A	RasGEF domain family member 1A	-0.482	2.373
220992	ZNF485	zinc finger protein 485	0.503	3.968
414197	ZNF32-AS1	ZNF32 antisense RNA 1	0.537	1.863
6387	CXCL12	C-X-C motif chemokine ligand 12	-0.66	1.872
643236	TMEM72	transmembrane protein 72	2.601	11.609
83937	RASSF4	Ras association domain family member 4	-0.285	1.413
105378281	LOC105378281	uncharacterized LOC105378281	-0.582	2.209
11067	DEPP1	DEPP autophagy regulator 1	-1.285	5.135
7570	ZNF22	zinc finger protein 22	-0.215	2.205
240	ALOX5	arachidonate 5-lipoxygenase	-0.74	2.608
220972	MARCHF8	membrane associated ring-CH-type finger 8	0.332	3.04
105378286	LOC105378286	uncharacterized LOC105378286	-0.537	1.74
253725	WASHC2C	WASH complex subunit 2C	0.18	2.23
8031	NCOA4	nuclear receptor coactivator 4	0.215	1.373
5540	NPY4R	neuropeptide Y receptor Y4	1.727	5.545
9721	GPRIN2	G protein regulated inducer of neurite outgrowth 2	1.564	5.84
83849	SYT15	synaptotagmin 15	-0.913	5.541
2662	GDF10	growth differentiation factor 10	0.929	1.751
439965	SHLD2P3	shieldin complex subunit 2 pseudogene 3	-0.151	1.803
102724488	SYT15B	synaptotagmin 15B	-0.839	5.369
100996758	NPY4R2	neuropeptide Y receptor Y4-2	1.802	6.175
5599	MAPK8	mitogen-activated protein kinase 8	-0.278	2.214
196740	VSTM4	V-set and transmembrane domain containing 4	-0.462	1.353
170371	TMEM273	transmembrane protein 273	-0.672	2.475
644168	DRGX	dorsal root ganglia homeobox	2.702	7.486
55753	OGDHL	oxoglutarate dehydrogenase L	1.131	5.055
100652748	TIMM23B	translocase of inner mitochondrial membrane 23 homolog B	-0.327	3.59
113218477	TIMM23B-AGAP6	TIMM23B-AGAP6 readthrough (NMD candidate)	-0.285	3.466
414189	AGAP6	ArfGAP with GTPase domain, ankyrin repeat and PH domain 6	-0.251	2.138
100421577	FAM21EP	family with sequence similarity 21, member A pseudogene	0.251	1.75
387680	WASHC2A	WASH complex subunit 2A	0.246	3.962
259230	SGMS1	sphingomyelin synthase 1	-0.519	3.399
104355295	SGMS1-AS1	SGMS1 antisense RNA 1	0.315	1.382
653308	ASAH2B	N-acylsphingosine amidohydrolase 2B	0.452	2.729
